深度(m),工具长度(m) ,圆心X(m), 圆心Y(m),直径(m) ,当前段耗时(s),总耗时(s)
3389.000,1.000000,0.000369,-0.000135,0.106998,1.907459,338.026133
3389.500,1.000000,0.000482,-0.000137,0.106909,1.899488,339.925621
3390.000,1.000000,0.000433,-0.000244,0.106768,1.858905,341.784527
3390.500,1.000000,-0.001108,-0.000256,0.107074,1.910863,343.695390
3391.000,1.000000,0.000238,-0.001413,0.107234,1.902605,345.597995
3391.500,1.000000,0.000515,-0.001548,0.107287,1.852385,347.450380
3392.000,1.000000,0.000498,-0.001555,0.106865,1.859962,349.310342
3392.500,1.000000,0.000294,-0.001345,0.105578,1.815203,351.125545
3393.000,1.000000,0.001610,-0.001448,0.102291,1.842761,352.968306
3393.500,1.000000,0.007693,-0.002758,0.093370,1.956863,354.925169
