深度(m),工具长度(m) ,圆心X(m), 圆心Y(m),直径(m) ,当前段耗时(s),总耗时(s)
3395.500,1.000000,-0.004682,0.005760,0.103021,1.048165,191.879083
3396.000,1.000000,-0.001520,0.001747,0.109058,1.007175,192.886258
3396.500,1.000000,-0.000039,-0.000151,0.110444,1.012276,193.898535
3397.000,1.000000,0.001691,-0.000047,0.111184,1.004498,194.903033
3397.500,1.000000,0.002082,0.000045,0.110317,1.034217,195.937249
3398.000,1.000000,0.001848,-0.000242,0.110916,0.986618,196.923867
3398.500,1.000000,0.001516,-0.000284,0.111138,1.039115,197.962982
3399.000,1.000000,0.000111,-0.000073,0.111376,1.007625,198.970607
3399.500,1.000000,-0.001240,0.000146,0.110780,1.016872,199.987479
3400.000,1.000000,0.000106,0.000079,0.110814,1.013427,201.000906
