深度(m),工具长度(m) ,圆心X(m), 圆心Y(m),直径(m) ,当前段耗时(s),总耗时(s)
3389.000,1.000000,0.000369,-0.000135,0.106998,1.016946,177.420043
3389.500,1.000000,0.000482,-0.000137,0.106909,1.023954,178.443997
3390.000,1.000000,0.000433,-0.000244,0.106768,0.984405,179.428401
3390.500,1.000000,-0.001108,-0.000256,0.107074,0.986168,180.414570
3391.000,1.000000,0.000238,-0.001413,0.107234,1.018660,181.433230
3391.500,1.000000,0.000515,-0.001548,0.107287,1.000159,182.433390
3392.000,1.000000,0.000498,-0.001555,0.106865,0.967868,183.401258
3392.500,1.000000,0.000294,-0.001345,0.105578,0.964594,184.365852
3393.000,1.000000,0.001610,-0.001448,0.102291,0.972623,185.338475
3393.500,1.000000,0.007693,-0.002758,0.093370,1.031980,186.370454
