深度(m),工具长度(m) ,圆心X(m), 圆心Y(m),直径(m) ,当前段耗时(s),总耗时(s)
3389.000,1.000000,0.000369,-0.000135,0.106998,7.094553,556.169231
3389.500,1.000000,0.000482,-0.000137,0.106909,5.682936,561.852167
3390.000,1.000000,0.000433,-0.000244,0.106768,5.514123,567.366290
3390.500,1.000000,-0.001108,-0.000256,0.107074,5.377898,572.744188
3391.000,1.000000,0.000238,-0.001413,0.107234,5.867136,578.611324
3391.500,1.000000,0.000515,-0.001548,0.107287,6.137206,584.748530
3392.000,1.000000,0.000498,-0.001555,0.106865,5.513689,590.262219
3392.500,1.000000,0.000294,-0.001345,0.105578,6.729130,596.991349
3393.000,1.000000,0.001610,-0.001448,0.102291,6.233535,603.224884
3393.500,1.000000,0.007693,-0.002758,0.093370,7.050898,610.275782
