深度(m),工具长度(m) ,圆心X(m), 圆心Y(m),直径(m) ,当前段耗时(s),总耗时(s)
3395.500,1.000000,-0.004682,0.005760,0.103021,1.998531,359.077831
3396.000,1.000000,-0.001520,0.001747,0.109058,1.751323,360.829155
3396.500,1.000000,-0.000039,-0.000151,0.110444,1.796160,362.625314
3397.000,1.000000,0.001691,-0.000047,0.111184,1.729386,364.354701
3397.500,1.000000,0.002082,0.000045,0.110317,1.757188,366.111888
3398.000,1.000000,0.001848,-0.000242,0.110916,2.062053,368.173941
3398.500,1.000000,0.001516,-0.000284,0.111138,2.317851,370.491792
3399.000,1.000000,0.000111,-0.000073,0.111376,2.074137,372.565929
3399.500,1.000000,-0.001240,0.000146,0.110780,2.257799,374.823728
3400.000,1.000000,0.000106,0.000079,0.110814,1.945321,376.769049
